URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (code),TypeOfEstablishment (name),EstablishmentTypeGroup (code),EstablishmentTypeGroup (name),EstablishmentStatus (code),EstablishmentStatus (name),ReasonEstablishmentOpened (code),ReasonEstablishmentOpened (name),OpenDate,ReasonEstablishmentClosed (code),ReasonEstablishmentClosed (name),CloseDate,PhaseOfEducation (code),PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (code),Boarders (name),NurseryProvision (name),OfficialSixthForm (code),OfficialSixthForm (name),Gender (code),Gender (name),ReligiousCharacter (code),ReligiousCharacter (name),ReligiousEthos (name),Diocese (code),Diocese (name),AdmissionsPolicy (code),AdmissionsPolicy (name),SchoolCapacity,SpecialClasses (code),SpecialClasses (name),CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlag (code),TrustSchoolFlag (name),Trusts (code),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (code),Federations (name),UKPRN,FEHEIdentifier,FurtherEducationType (name),LastChangedDate,Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,BSOInspectorateName (name),InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMoth (name),TeenMothPlaces,CCF (name),SENPRU (name),EBD (name),PlacesPRU,FTProv (name),EdByOther (name),Section41Approved (name),SEN1 (name),SEN2 (name),SEN3 (name),SEN4 (name),SEN5 (name),SEN6 (name),SEN7 (name),SEN8 (name),SEN9 (name),SEN10 (name),SEN11 (name),SEN12 (name),SEN13 (name),TypeOfResourcedProvision (name),ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),AdministrativeWard (code),AdministrativeWard (name),ParliamentaryConstituency (code),ParliamentaryConstituency (name),UrbanRural (code),UrbanRural (name),GSSLACode (name),Easting,Northing,MSOA (name),LSOA (name),InspectorateName (name),SENStat,SENNoStat,BoardingEstablishment (name),PropsName,PreviousLA (code),PreviousLA (name),PreviousEstablishmentNumber,Country (name),UPRN,SiteName,QABName (code),QABName (name),EstablishmentAccredited (code),EstablishmentAccredited (name),QABReport,CHNumber,MSOA (code),LSOA (code),FSM,AccreditationExpiryDate
100000,201,City of London,3614,The Aldgate School,02,Voluntary aided school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,02,Church of England,Does not apply,CE23,Diocese of London,0,Not applicable,245,2,No Special Classes,16/01/2025,249,137,112,23.3,0,Not applicable,,,Not applicable,,Not under a federation,,,10079319,,Not applicable,10/04/2026,St James's Passage,Duke's Place,,London,,EC3A 5DE,www.thealdgateschool.org,02072831147,Miss,Alexandra,Allan,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000001,City of London,E05009308,Portsoken,E14001172,Cities of London and Westminster,UN1,Urban: Nearer to a major town or city,E09000001,533498,181201,City of London 001,City of London 001F,,,,,,999,,,,2E+11,,0,Not applicable,0,Not applicable,,,E02000001,E01032739,58,
100001,201,City of London,6005,City of London School for Girls,11,Other independent school,3,Independent schools,1,Open,00,Not applicable,01/01/1920,00,Not applicable,,0,Not applicable,10,18,1,No boarders,No Nursery Classes,1,Has a sixth form,2,Girls,06,None,Inter- / non- denominational,0000,Not applicable,2,Selective,860,2,No Special Classes,18/01/2024,780,0,780,,0,Not applicable,,,Not applicable,,Not applicable,,,10013279,,Not applicable,19/05/2026,St Giles' Terrace,Barbican,,London,,EC2Y 8BB,http://www.clsg.org.uk,02078475500,Mrs,Jenny,Brown,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not approved,,,,,,,,,,,,,,,,,,,H,London,E09000001,City of London,E05009302,Cripplegate,E14001172,Cities of London and Westminster,UN1,Urban: Nearer to a major town or city,E09000001,532301,181746,City of London 001,City of London 001B,ISI,0,99,Does not have boarders,Corporation of London,999,,,,2E+11,,0,Not applicable,0,Not applicable,,,E02000001,E01000002,,
100002,201,City of London,6006,St Paul's Cathedral School,11,Other independent school,3,Independent schools,1,Open,00,Not applicable,01/01/1939,00,Not applicable,,0,Not applicable,4,13,3,Boarding school,No Nursery Classes,2,Does not have a sixth form,3,Mixed,02,Church of England,Christian,0000,Not applicable,0,Not applicable,285,2,No Special Classes,18/01/2024,285,169,116,,0,Not applicable,,,Not applicable,,Not applicable,,,10018890,,Not applicable,21/05/2026,2 New Change,,,London,,EC4M 9AD,http://www.spcslondon.com,02072485156,Mrs,Judith,Fremont-Barnes,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not approved,,,,,,,,,,,,,,,,,,,H,London,E09000001,City of London,E05009293,Bread Street,E14001172,Cities of London and Westminster,UN1,Urban: Nearer to a major town or city,E09000001,532160,181151,City of London 001,City of London 001F,ISI,0,29,Has boarders,The Chapter of St Paul’s Cathedral,999,,,,2E+11,,0,Not applicable,0,Not applicable,,,E02000001,E01032739,,
100003,201,City of London,6007,City of London School,11,Other independent school,3,Independent schools,1,Open,00,Not applicable,01/01/1919,00,Not applicable,,0,Not applicable,10,18,1,No boarders,No Nursery Classes,1,Has a sixth form,1,Boys,06,None,None,0000,Not applicable,0,Not applicable,1100,2,No Special Classes,18/01/2024,1074,1074,0,,0,Not applicable,,,Not applicable,,Not applicable,,,10008165,,Not applicable,21/05/2026,107 Queen Victoria Street,,,London,,EC4V 3AL,http://www.cityoflondonschool.org.uk,02036806300,Mr,Alan,Bird,Head,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not approved,,,,,,,,,,,,,,,,,,,H,London,E09000001,City of London,E05009309,Queenhithe,E14001172,Cities of London and Westminster,UN1,Urban: Nearer to a major town or city,E09000001,531981,180844,City of London 001,City of London 001F,ISI,0,161,Does not have boarders,City of London Corporation(Board of Governors of City of London School,999,,,,1.00023E+11,,0,Not applicable,0,Not applicable,,,E02000001,E01032739,,
100004,202,Camden,1045,Sherborne Nursery School,15,Local authority nursery school,4,Local authority maintained schools,2,Closed,00,Not applicable,,00,Not applicable,31/08/1992,1,Nursery,3,5,1,No boarders,Not applicable,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,0,Not applicable,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,24/09/2015,Priestly House,Athlone Street,,London,,NW5 4LP,,,,,,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000136,Haverstock,E14000750,Holborn and St Pancras,A1,(England/Wales) Urban major conurbation,E09000007,528515,184869,Camden 007,Camden 007D,,,,,,999,,,,200163898,,0,Not applicable,0,Not applicable,,,E02000172,E01000901,,
100005,202,Camden,1048,Thomas Coram Centre,15,Local authority nursery school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,1,Nursery,2,5,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,0,Not applicable,16/01/2025,116,67,49,43.8,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,15/06/2026,49 Mecklenburgh Square,,,London,,WC1N 2NY,http://www.thomascoram.camden.sch.uk/,02075200385,Ms,Perina,Holness,Head Teacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05013666,King's Cross,E14001290,Holborn and St Pancras,UN1,Urban: Nearer to a major town or city,E09000007,530464,182403,Camden 029,Camden 029G,,,,,,999,,,,5088037,,0,Not applicable,0,Not applicable,,,E02007115,E01000937,28,
100006,202,Camden,1100,Heath School,14,Pupil referral unit,4,Local authority maintained schools,1,Open,00,Not applicable,01/09/1999,00,Not applicable,,0,Not applicable,11,16,1,No boarders,Not applicable,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,0,Not applicable,16/01/2025,31,20,11,77.4,0,Not applicable,,,Not applicable,,Not applicable,,,10016665,,Not applicable,13/04/2026,Agincourt Road,,,London,,NW3 2NY,http://heath.h3federation.org.uk/,02079748906,Mr,Alex,Wilson,Headteacher,Not applicable,,,,Does not provide places for Teen Mothers,,Does not have child care facilities,PRU Does have Provision for SEN,PRU Does have EBD provision,65,PRU offers full time provision,Does not offer tuition by another provider,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05013658,Gospel Oak,E14001265,Hampstead and Highgate,UN1,Urban: Nearer to a major town or city,E09000007,527663,185479,Camden 006,Camden 006B,,,,,,999,,,,5109310,,0,Not applicable,0,Not applicable,,,E02000171,E01000887,24,
100007,202,Camden,1101,Camden Primary Pupil Referral Unit,14,Pupil referral unit,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,0,Not applicable,5,11,1,No boarders,Not applicable,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,20,0,Not applicable,16/01/2025,19,18,1,84.2,0,Not applicable,,,Not applicable,,Not applicable,,,10077053,,Not applicable,12/06/2026,"Robson House, Netley Campus",74 Stanhope Street,,London,,NW1 3EX,http://www.robsonhouse.org.uk/main/,02037720370,Mr,John,Hayes,Executive Head,Not applicable,,,,Not applicable,,Not applicable,PRU Does have Provision for SEN,PRU Does have EBD provision,,PRU offers full time provision,Not applicable,Not applicable,"SEMH - Social, Emotional and Mental Health",,,,,,,,,,,,,SEN unit,,,20,20,H,London,E09000007,Camden,E05013668,Regent's Park,E14001290,Holborn and St Pancras,UN1,Urban: Nearer to a major town or city,E09000007,529082,182617,Camden 023,Camden 023F,,,,,,999,,,,10091911459,,0,Not applicable,0,Not applicable,,,E02000188,E01035710,16,
100008,202,Camden,2019,Argyle Primary School,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,432,2,No Special Classes,16/01/2025,278,134,144,60.8,0,Not applicable,,,Not applicable,,Not under a federation,,,10078065,,Not applicable,19/05/2026,Tonbridge Street,,,London,,WC1H 9EG,http://www.argyle.camden.sch.uk/,02078374590,Ms,Jemima,Wade,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05013666,King's Cross,E14001290,Holborn and St Pancras,UN1,Urban: Nearer to a major town or city,E09000007,530238,182761,Camden 029,Camden 029D,,,,,,999,,,,5090707,,0,Not applicable,0,Not applicable,,,E02007115,E01000941,169,
100009,202,Camden,2036,West Hampstead Primary School,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,446,2,No Special Classes,16/01/2025,409,203,206,42.8,0,Not applicable,,,Not applicable,,Not under a federation,,,10077183,,Not applicable,15/04/2026,Dornfell Street,West Hampstead,,London,,NW6 1QL,http://www.westhampstead.camden.sch.uk/,02074358646,Mr,Samuel,Drake,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05013656,Fortune Green,E14001265,Hampstead and Highgate,UN1,Urban: Nearer to a major town or city,E09000007,524888,185067,Camden 005,Camden 005C,,,,,,999,,,,5090655,,0,Not applicable,0,Not applicable,,,E02000170,E01000873,175,
100010,202,Camden,2065,Brecknock Primary School,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,2,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,303,2,No Special Classes,16/01/2025,288,138,150,70.7,0,Not applicable,,,Not applicable,,Supported by a federation,17794,The Brecknock and Torriano Schools Federation,10073852,,Not applicable,08/04/2026,Cliff Villas,Camden,,London,,NW1 9AL,http://www.brecknock.camden.sch.uk/,02074856334,Ms,Helen,Bruckdorfer,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05013654,Camden Square,E14001290,Holborn and St Pancras,UN1,Urban: Nearer to a major town or city,E09000007,529912,184835,Camden 015,Camden 015E,,,,,,999,,,,5090625,,0,Not applicable,0,Not applicable,,,E02000180,E01000869,188,
100011,202,Camden,2078,Brookfield Primary School,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,2,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,459,2,No Special Classes,16/01/2025,394,200,194,38.9,0,Not applicable,,,Not applicable,,Not under a federation,,,10078064,,Not applicable,16/06/2026,Chester Road,,,London,,N19 5DH,http://www.brookfield.camden.sch.uk/,02072729627,Mr,Simon,Shiel,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05013661,Highgate,E14001265,Hampstead and Highgate,UN1,Urban: Nearer to a major town or city,E09000007,528706,186594,Camden 001,Camden 001B,,,,,,999,,,,5109551,,0,Not applicable,0,Not applicable,,,E02000166,E01000908,146,
100012,202,Camden,2095,Carlton Primary School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,01,Result of Amalgamation/Merger,31/08/2021,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,436,2,No Special Classes,21/01/2021,211,109,102,57.8,0,Not applicable,,,Not applicable,,Not under a federation,,,10078063,,Not applicable,31/08/2021,Grafton Road,,,London,,NW5 4AX,,,Ms,Jacqueline,Phelan,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,Not applicable,,,,,H,London,E09000007,Camden,E05000134,Gospel Oak,E14000750,Holborn and St Pancras,A1,(England/Wales) Urban major conurbation,E09000007,528386,185209,Camden 007,Camden 007C,,,,,,999,,,,5069952,,0,Not applicable,0,Not applicable,,,E02000172,E01000891,122,
100013,202,Camden,2184,Edith Neville Primary School,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,236,2,No Special Classes,16/01/2025,204,111,93,51.2,0,Not applicable,,,Not applicable,,Not under a federation,,,10078062,,Not applicable,10/06/2026,85 Polygon Road,,,London,,NW1 1HQ,http://www.edithneville.camden.sch.uk/,02073877158,,Ruby,Nasser,Acting Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05013669,St Pancras & Somers Town,E14001290,Holborn and St Pancras,UN1,Urban: Nearer to a major town or city,E09000007,529725,183195,Camden 022,Camden 022G,,,,,,999,,,United Kingdom,5004531,,0,Not applicable,0,Not applicable,,,E02000187,E01035709,103,
100014,202,Camden,2219,Fleet Primary School,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,210,2,No Special Classes,16/01/2025,215,118,97,54.4,0,Not applicable,,,Not applicable,,Not under a federation,,,10078061,,Not applicable,18/05/2026,Fleet Road,,Fleet Primary School,London,,NW3 2QT,http://www.fleet.camden.sch.uk/,02074852028,,Donald,McGibbon,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05013658,Gospel Oak,E14001265,Hampstead and Highgate,UN1,Urban: Nearer to a major town or city,E09000007,527677,185424,Camden 006,Camden 006B,,,,,,999,,,,5090740,,0,Not applicable,0,Not applicable,,,E02000171,E01000887,117,
100015,202,Camden,2290,Hawley Primary School,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,236,2,No Special Classes,16/01/2025,228,118,110,51.3,0,Not applicable,,,Not applicable,,Not under a federation,,,10075421,,Not applicable,02/06/2026,Hawley Road,,,London,,NW1 8RP,http://www.hawley.camden.sch.uk/,02074855020,Ms,Sally Hill,/ Ms Natalie Stevenson,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05013655,Camden Town,E14001290,Holborn and St Pancras,UN1,Urban: Nearer to a major town or city,E09000007,528886,184273,Camden 019,Camden 019A,,,,,,999,,,,5185814,,0,Not applicable,0,Not applicable,,,E02000184,E01000856,117,
100016,202,Camden,2357,Kingsgate Junior School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,01,Result of Amalgamation/Merger,31/08/2000,2,Primary,7,11,1,No boarders,No Nursery Classes,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,14/11/2018,Messina Avenue,,,London,,NW6 4LB,,,Mr,R,Manton,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000140,Kilburn,E14000727,Hampstead and Kilburn,A1,(England/Wales) Urban major conurbation,E09000007,525140,184253,Camden 013,Camden 013C,,,,,,999,,,,5090693,,0,Not applicable,0,Not applicable,,,E02000178,E01000931,,
